wavelength,species,dl,sensitivity,photoreceptor
685,cod,light,7.13E-08,sw
686,cod,light,6.67E-08,sw
687,cod,light,6.25E-08,sw
688,cod,light,5.85E-08,sw
689,cod,light,5.48E-08,sw
690,cod,light,5.13E-08,sw
691,cod,light,4.81E-08,sw
692,cod,light,4.50E-08,sw
693,cod,light,4.22E-08,sw
694,cod,light,3.96E-08,sw
695,cod,light,3.71E-08,sw
696,cod,light,3.48E-08,sw
697,cod,light,3.26E-08,sw
698,cod,light,3.06E-08,sw
699,cod,light,2.87E-08,sw
700,cod,light,2.70E-08,sw
300,cod,light,0.124253757,mw
301,cod,light,0.127817781,mw
302,cod,light,0.131412123,mw
303,cod,light,0.135033672,mw
304,cod,light,0.138679186,mw
305,cod,light,0.1423453,mw
306,cod,light,0.146028528,mw
307,cod,light,0.149725268,mw
308,cod,light,0.153431807,mw
309,cod,light,0.157144331,mw
310,cod,light,0.160858923,mw
311,cod,light,0.164571579,mw
312,cod,light,0.168278206,mw
313,cod,light,0.171974638,mw
314,cod,light,0.175656638,mw
315,cod,light,0.179319908,mw
316,cod,light,0.182960099,mw
317,cod,light,0.186572818,mw
318,cod,light,0.190153639,mw
319,cod,light,0.193698112,mw
320,cod,light,0.197201773,mw
321,cod,light,0.200660154,mw
322,cod,light,0.204068793,mw
323,cod,light,0.207423246,mw
324,cod,light,0.210719098,mw
325,cod,light,0.21395197,mw
326,cod,light,0.217117537,mw
327,cod,light,0.220211533,mw
328,cod,light,0.223229764,mw
329,cod,light,0.22616812,mw
330,cod,light,0.229022586,mw
331,cod,light,0.231789252,mw
332,cod,light,0.234464326,mw
333,cod,light,0.237044142,mw
334,cod,light,0.239525173,mw
335,cod,light,0.24190404,mw
336,cod,light,0.244177523,mw
337,cod,light,0.24634257,mw
338,cod,light,0.248396309,mw
339,cod,light,0.250336053,mw
340,cod,light,0.252159314,mw
341,cod,light,0.253863807,mw
342,cod,light,0.25544746,mw
343,cod,light,0.256908422,mw
344,cod,light,0.258245071,mw
345,cod,light,0.259456015,mw
346,cod,light,0.260540107,mw
347,cod,light,0.261496442,mw
348,cod,light,0.262324369,mw
349,cod,light,0.263023488,mw
350,cod,light,0.263593661,mw
351,cod,light,0.264035012,mw
352,cod,light,0.264347926,mw
353,cod,light,0.264533058,mw
354,cod,light,0.264591328,mw
355,cod,light,0.264523926,mw
356,cod,light,0.26433231,mw
357,cod,light,0.264018204,mw
358,cod,light,0.2635836,mw
359,cod,light,0.263030755,mw
360,cod,light,0.262362186,mw
361,cod,light,0.26158067,mw
362,cod,light,0.26068924,mw
363,cod,light,0.25969118,mw
364,cod,light,0.25859002,mw
365,cod,light,0.257389531,mw
366,cod,light,0.256093719,mw
367,cod,light,0.254706822,mw
368,cod,light,0.253233296,mw
369,cod,light,0.251677815,mw
370,cod,light,0.250045262,mw
371,cod,light,0.248340716,mw
372,cod,light,0.246569451,mw
373,cod,light,0.244736923,mw
374,cod,light,0.24284876,mw
375,cod,light,0.240910758,mw
376,cod,light,0.238928866,mw
377,cod,light,0.23690918,mw
378,cod,light,0.234857933,mw
379,cod,light,0.232781482,mw
380,cod,light,0.230686302,mw
381,cod,light,0.228578973,mw
382,cod,light,0.226466171,mw
383,cod,light,0.224354659,mw
384,cod,light,0.222251273,mw
385,cod,light,0.220162916,mw
386,cod,light,0.218096545,mw
387,cod,light,0.216059162,mw
388,cod,light,0.214057804,mw
389,cod,light,0.212099532,mw
390,cod,light,0.210191423,mw
391,cod,light,0.208340558,mw
392,cod,light,0.206554014,mw
393,cod,light,0.204838853,mw
394,cod,light,0.203202116,mw
395,cod,light,0.201650809,mw
396,cod,light,0.200191896,mw
397,cod,light,0.198832293,mw
398,cod,light,0.197578854,mw
399,cod,light,0.196438367,mw
400,cod,light,0.195417543,mw
401,cod,light,0.194523007,mw
402,cod,light,0.193761295,mw
403,cod,light,0.193138838,mw
404,cod,light,0.192661962,mw
405,cod,light,0.192336873,mw
406,cod,light,0.192169657,mw
407,cod,light,0.192166265,mw
408,cod,light,0.192332511,mw
409,cod,light,0.192674063,mw
410,cod,light,0.193196433,mw
411,cod,light,0.193904974,mw
412,cod,light,0.194804871,mw
413,cod,light,0.19590113,mw
414,cod,light,0.19719858,mw
415,cod,light,0.198701855,mw
416,cod,light,0.200415395,mw
417,cod,light,0.202343434,mw
418,cod,light,0.204489996,mw
419,cod,light,0.206858885,mw
420,cod,light,0.209453681,mw
421,cod,light,0.21227773,mw
422,cod,light,0.215334138,mw
423,cod,light,0.218625762,mw
424,cod,light,0.222155208,mw
425,cod,light,0.225924817,mw
426,cod,light,0.229936664,mw
427,cod,light,0.234192547,mw
428,cod,light,0.238693983,mw
429,cod,light,0.243442198,mw
430,cod,light,0.248438123,mw
431,cod,light,0.253682389,mw
432,cod,light,0.259175316,mw
433,cod,light,0.264916912,mw
434,cod,light,0.270906866,mw
435,cod,light,0.27714454,mw
